account_id,seller_id,predicted_score,tech_match_score
account_31,seller_0,822631,0.3333333333333333
account_192,seller_0,632003,1.0
account_201,seller_0,544003,0.0
account_218,seller_0,521782,0.0
account_231,seller_0,450421,0.25
account_283,seller_0,409909,0.0
account_285,seller_0,320527,0.5
account_288,seller_0,800605,0.5
account_301,seller_0,438119,1.0
account_322,seller_0,471907,0.3333333333333333
account_326,seller_0,745019,1.0
account_399,seller_0,452896,0.25
account_405,seller_0,168369,0.0
account_406,seller_0,629106,0.3333333333333333
account_431,seller_0,1414461,1.0
account_446,seller_0,689123,0.0
account_61,seller_1,468925,0.0
account_103,seller_1,186296,0.0
account_118,seller_1,364863,0.0
account_178,seller_1,455496,0.0
account_385,seller_1,544723,0.0
account_471,seller_1,292398,0.0
account_116,seller_2,658504,0.0
account_335,seller_2,685518,0.0
account_400,seller_2,327648,0.0
account_12,seller_3,638523,0.5
account_33,seller_3,525252,0.3333333333333333
account_47,seller_3,578133,0.5
account_58,seller_3,240595,0.25
account_65,seller_3,712031,0.25
account_148,seller_3,1787326,0.5
account_154,seller_3,815488,0.6666666666666666
account_263,seller_3,394094,0.3333333333333333
account_295,seller_3,824369,0.3333333333333333
account_318,seller_3,475653,0.25
account_354,seller_3,262053,1.0
account_368,seller_3,564166,1.0
account_383,seller_3,134000,0.25
account_470,seller_3,638523,0.5
account_475,seller_3,996906,0.3333333333333333
account_498,seller_3,539153,1.0
account_6,seller_4,269685,0.0
account_84,seller_4,227630,0.5
account_89,seller_4,534012,0.3333333333333333
account_131,seller_4,420705,0.5
account_177,seller_4,1589419,0.3333333333333333
account_179,seller_4,669297,0.0
account_284,seller_4,240384,0.5
account_305,seller_4,509045,1.0
account_309,seller_4,530493,0.0
account_438,seller_4,1032680,0.5
account_440,seller_4,417857,0.0
account_458,seller_4,381926,0.0
account_9,seller_5,467366,0.5
account_78,seller_5,628463,0.0
account_146,seller_5,378369,0.25
account_174,seller_5,345032,0.0
account_206,seller_5,304394,0.0
account_258,seller_5,568933,0.5
account_291,seller_5,562272,0.0
account_338,seller_5,363722,0.3333333333333333
account_341,seller_5,943526,0.3333333333333333
account_402,seller_5,411691,0.5
account_459,seller_5,455496,0.0
account_468,seller_5,379881,0.25
account_50,seller_6,607799,0.3333333333333333
account_54,seller_6,949162,1.0
account_105,seller_6,889550,0.3333333333333333
account_107,seller_6,573482,0.5
account_122,seller_6,1052994,1.0
account_155,seller_6,928312,0.3333333333333333
account_158,seller_6,741072,0.3333333333333333
account_234,seller_6,873822,0.3333333333333333
account_320,seller_6,900896,0.3333333333333333
account_352,seller_6,435773,0.5
account_379,seller_6,534012,0.3333333333333333
account_419,seller_6,800954,0.3333333333333333
account_40,seller_7,542758,0.3333333333333333
account_51,seller_7,1317788,1.0
account_147,seller_7,732713,0.3333333333333333
account_200,seller_7,1241509,0.5
account_243,seller_7,1129371,1.0
account_255,seller_7,606652,0.5
account_304,seller_7,1145635,0.25
account_323,seller_7,370931,0.0
account_342,seller_7,466684,1.0
account_377,seller_7,1680079,0.5
account_422,seller_7,765232,0.25
account_434,seller_7,666779,0.25
account_2,seller_8,86947,0.0
account_149,seller_8,284484,0.0
account_157,seller_8,346805,0.0
account_171,seller_8,395230,0.0
account_251,seller_8,542849,0.0
account_408,seller_8,536743,0.0
account_433,seller_8,83866,0.0
account_11,seller_9,1458867,0.5
account_19,seller_9,799066,0.6666666666666666
account_82,seller_9,786341,0.6666666666666666
account_92,seller_9,1408858,0.5
account_207,seller_9,808982,1.0
account_214,seller_9,663373,1.0
account_229,seller_9,1276615,0.5
account_252,seller_9,731171,0.5
account_332,seller_9,982188,0.5
account_351,seller_9,320300,1.0
account_388,seller_9,343884,0.5
account_429,seller_9,940667,0.6666666666666666
account_449,seller_9,370667,1.0
account_492,seller_9,984464,0.5
account_299,seller_10,658328,0.0
account_101,seller_11,288235,0.0
account_106,seller_11,625757,0.0
account_212,seller_11,496173,0.0
account_346,seller_11,288928,0.0
account_397,seller_11,103666,0.0
account_401,seller_11,375302,0.0
account_22,seller_12,418175,0.3333333333333333
account_41,seller_12,257825,1.0
account_48,seller_12,622488,0.5
account_138,seller_12,1147404,1.0
account_141,seller_12,631395,0.3333333333333333
account_152,seller_12,1545539,0.6666666666666666
account_216,seller_12,661889,0.25
account_254,seller_12,381452,0.6666666666666666
account_290,seller_12,224043,0.25
account_331,seller_12,859035,0.25
account_348,seller_12,265085,1.0
account_485,seller_12,1050665,1.0
account_23,seller_13,221443,0.0
account_248,seller_13,536743,0.0
account_278,seller_13,86947,0.0
account_398,seller_13,542093,0.0
account_10,seller_14,1317788,1.0
account_63,seller_14,711459,0.3333333333333333
account_112,seller_14,320002,0.3333333333333333
account_115,seller_14,705315,0.5
account_133,seller_14,134000,0.25
account_167,seller_14,994167,0.5
account_261,seller_14,994167,0.5
account_262,seller_14,379768,0.25
account_313,seller_14,481897,0.5
account_414,seller_14,278030,0.25
account_439,seller_14,749272,0.25
account_452,seller_14,343884,0.5
account_460,seller_14,937306,1.0
account_473,seller_14,730334,1.0
account_56,seller_15,614863,0.5
account_72,seller_15,687745,0.0
account_102,seller_15,953938,0.5
account_123,seller_15,731311,0.25
account_217,seller_15,481897,0.5
account_264,seller_15,542093,0.0
account_272,seller_15,142801,0.25
account_329,seller_15,475059,0.5
account_365,seller_15,718505,0.3333333333333333
account_380,seller_15,440243,0.3333333333333333
account_454,seller_15,134000,0.25
account_462,seller_15,512519,0.5
account_143,seller_16,603870,0.0
account_213,seller_16,907605,0.0
account_245,seller_16,758306,0.0
account_277,seller_16,658595,0.0
account_384,seller_16,544003,0.0
account_451,seller_16,112948,0.0
account_156,seller_17,610074,0.3333333333333333
account_176,seller_17,1026869,0.5
account_184,seller_17,889416,0.3333333333333333
account_302,seller_17,928312,0.3333333333333333
account_315,seller_17,520124,0.0
account_347,seller_17,965582,0.5
account_390,seller_17,789892,0.3333333333333333
account_394,seller_17,678134,0.5
account_423,seller_17,814598,0.3333333333333333
account_450,seller_17,435773,0.5
account_493,seller_17,372930,0.25
account_494,seller_17,1518742,1.0
account_17,seller_18,181309,0.0
account_37,seller_18,604709,0.0
account_381,seller_18,94500,0.0
account_391,seller_18,412290,0.0
account_445,seller_18,405013,0.0
account_480,seller_18,83866,0.0
account_39,seller_19,946655,0.0
account_88,seller_19,695432,0.0
account_113,seller_19,350422,0.0
account_227,seller_19,114470,0.0
account_236,seller_19,347982,0.0
account_435,seller_19,695594,0.0
account_487,seller_19,583151,0.0
account_13,seller_20,540353,0.0
account_36,seller_20,678134,0.5
account_57,seller_20,270972,1.0
account_99,seller_20,662388,0.5
account_104,seller_20,811700,0.3333333333333333
account_188,seller_20,427888,0.25
account_194,seller_20,773674,0.3333333333333333
account_222,seller_20,349955,0.25
account_273,seller_20,343884,0.5
account_371,seller_20,491393,0.3333333333333333
account_404,seller_20,840083,0.3333333333333333
account_410,seller_20,513089,0.3333333333333333
account_427,seller_20,654759,0.5
account_437,seller_20,678934,0.25
account_465,seller_20,730087,0.3333333333333333
account_306,seller_21,718900,0.0
account_418,seller_21,86947,0.0
account_3,seller_22,751002,0.5
account_38,seller_22,965582,0.5
account_90,seller_22,134000,0.25
account_142,seller_22,1269003,1.0
account_165,seller_22,864639,0.5
account_199,seller_22,376036,0.3333333333333333
account_230,seller_22,411691,0.5
account_235,seller_22,220395,0.3333333333333333
account_274,seller_22,801794,0.3333333333333333
account_324,seller_22,387795,0.25
account_420,seller_22,417857,0.0
account_444,seller_22,270972,1.0
account_27,seller_23,240595,0.25
account_46,seller_23,653016,0.3333333333333333
account_55,seller_23,196027,1.0
account_77,seller_23,253387,0.3333333333333333
account_125,seller_23,918482,0.5
account_134,seller_23,454657,0.25
account_193,seller_23,629734,0.0
